SL.NO,ATC POCKET-NO,TOOL NAME,HOLDER NAME,TOOL ROOM NO,NO OF HOLES IN COMPONENT,CUTTING LENGTH,REMARKS
1,1,125 ROUGHING FACEMILL,SLA40 100GPL,0,,,
2,2,63 ROUGHING SHOULDERMILL,FMB22 150GPL,0,,,
3,4,16 FINISHING ENDMILL,ER32 150GPL,0,,,
4,5,5 CARBIDE DRILL,ER32 100GPL,0,43,23,"ER32 100GPL with ER16 200GPL used for 5 drill"
5,6,6.8 CARBIDE DRILL,ER16 200GPL,0,73,27,
6,7,10.2 CARBIDE DRILL,ER25 150GPL,0,48,35,
7,8,14 CARBIDE DRILL,ER25 150GPL,0,29,40,
8,9,16 ROUGHING ENDMILL,ER32 150GPL,0,,,
9,10,5.8 CARBIDE DRILL,ER16 150GPL,0,2,15,
10,11,6.6 CARBIDE DRILL,ER16 150GPL,0,2,25,
11,12,11.8 CARBIDE DRILL,ER25 150GPL,0,2,30,
12,14,10 ENDMILL,ER25 150GPL,0,,,
13,15,14 ENDMILL,ER25 150GPL,0,,,
14,16,19.8 CARBIDE DRILL,ER40 100GPL,0,2,30,
15,17,125 FINISHING FACEMILL,SLA40 100GPL,0,,,
16,18,6H7 REAMER,ER16 150GPL,0,2,10,
17,19,12H7 REAMER,ER25 150GPL,0,2,25,
18,21,M6 ST TAP,ER16 150GPL,0,43,18,
19,22,M8 ST TAP,ER16 200GPL,0,73,23,
20,23,M12 ST TAP,ER32 150GPL,0,48,30,
21,24,M16 ST TAP,ER32 150GPL,0,29,35,
22,25,26.5 U DRILL,SLN32 100GPL,0,8,45,
23,26,8.5 CARBIDE DRILL,SLN20 100GPL,0,14,30,"Side lock holder with ER16 200GPL used for 8.5 drill"
24,27,40 BACK SPOTFACE,SLN32 100GPL,0,,,
25,28,M10 ST TAP,ER20 150GPL,0,14,25,
26,29,20H7 REAMER,ER40 100GPL,0,2,25,
27,30,45 DEGREE CHAMFER TOOL,ER32 150GPL,0,,"","Insert type chamfer tool used"
28,38,18 ENDMILL,ER32 150GPL,0,,,
29,43,63 FINISHING SHOULDERMILL,FMB22 150GPL,0,,,
