KMC323HA11 ATC BBT TOOL LIST,,,,,,,,,,,
,,,,,,,,,,,
SL.NO,ATC POCKET-NO,,TOOL NAME,,,HOLDER NAME,,,,,REMARKS
,,,,,,,,,,,
1,1,,125 ROUGHING FACEMILL,,,SLA40 100GPL,,,,,
,,,,,,,,,,,
2,2,,63 ROUGHING SHOULDERMILL,,,FMB22 150GPL,,,,,
,,,,,,,,,,,
3,3,,80 ROUGHING SHOULDERMILL,,,FMB27 150GPL,,,,,
,,,,,,,,,,,
4,4,,16 FINISHING ENDMILL,,,ER32 150GPL,,,,,
,,,,,,,,,,,
5,5,,5 CARBIDE DRILL,,,ER32 100GPL,,,,,ER32 100GPL with ER16 200GPL used for 5 drill
,,,,,,,,,,,
6,6,,6.8 CARBIDE DRILL,,,ER16 200GPL,,,,,
,,,,,,,,,,,
7,7,,10.2 CARBIDE DRILL,,,ER25 150GPL,,,,,
,,,,,,,,,,,
8,8,,14 CARBIDE DRILL,,,ER25 150GPL,,,,,
,,,,,,,,,,,
9,9,,16 ROUGHING ENDMILL,,,ER32 150GPL,,,,,
,,,,,,,,,,,
10,10,,5.8 CARBIDE DRILL,,,ER16 150GPL,,,,,
,,,,,,,,,,,
11,11,,6.6 CARBIDE DRILL,,,ER16 150GPL,,,,,
,,,,,,,,,,,
12,12,,11.8 CARBIDE DRILL,,,ER25 150GPL,,,,,
,,,,,,,,,,,
13,13,,15.8 CARBIDE DRILL,,,ER32 100GPL,,,,,
,,,,,,,,,,,
14,14,,10 ENDMILL,,,ER25 150GPL,,,,,
,,,,,,,,,,,
15,15,,14 ENDMILL,,,ER25 150GPL,,,,,
,,,,,,,,,,,
16,16,,19.8 CARBIDE DRILL,,,ER40 100GPL,,,,,
,,,,,,,,,,,
17,17,,125 FINISHING FACEMILL,,,SLA40 100GPL,,,,,
,,,,,,,,,,,
18,18,,6H7 REAMER,,,ER16 150GPL,,,,,
,,,,,,,,,,,
19,19,,12H7 REAMER,,,ER25 150GPL,,,,,
,,,,,,,,,,,
20,20,,16H7 REAMER,,,ER25 100GPL,,,,,
,,,,,,,,,,,
21,21,,M6 ST TAP,,,ER16 150GPL,,,,,
,,,,,,,,,,,
22,22,,M8 ST TAP,,,ER16 200GPL,,,,,
,,,,,,,,,,,
23,23,,M12 ST TAP,,,ER32 150GPL,,,,,
,,,,,,,,,,,
24,24,,M16 ST TAP,,,ER32 150GPL,,,,,
,,,,,,,,,,,
25,25,,26 U DRILL,,,SLN32 100GPL,,,,,
,,,,,,,,,,,
26,26,,8.5 CARBIDE DRILL,,,SLN20 100GPL,,,,,Side lock holder with ER16 200GPL used for 8.5 drill
,,,,,,,,,,,
27,27,,40 BACK SPOTFACE,,,SLN32 100GPL,,,,,
,,,,,,,,,,,
28,28,,M10 ST TAP,,,ER20 150GPL,,,,,
,,,,,,,,,,,
29,29,,20H7 REAMER,,,ER40 100GPL,,,,,
,,,,,,,,,,,
30,30,,45 DEGREE CHAMFER TOOL,,,ER32 150GPL,,,,,Insert type chamfer tool used
,,,,,,,,,,,
31,31,,,,,,,,,,
,,,,,,,,,,,
32,32,,,,,,,,,,
,,,,,,,,,,,
33,33,,,,,,,,,,
,,,,,,,,,,,
34,34,,4.2 CARBIDE DRILL,,,ER16 150GPL,,,,,
,,,,,,,,,,,
35,35,,,,,,,,,,
,,,,,,,,,,,
36,36,,,,,,,,,,
,,,,,,,,,,,
37,37,,,,,,,,,,
,,,,,,,,,,,
38,38,,18 ENDMILL,,,ER32 150GPL,,,,,
,,,,,,,,,,,
39,39,,26 ENDMILL,,,SLN20 100GPL,,,,,Insert type endmill used for counter only
,,,,,,,,,,,
40,40,,12 ENDMILL,,,ER25 100GPL,,,,,
,,,,,,,,,,,
41,41,,21 U DRILL,,,SLN25 100GPL,,,,,
,,,,,,,,,,,
42,42,,M24 ST TAP,,,ER40 100GPL,,,,,
,,,,,,,,,,,
43,43,,63 FINISHING SHOULDERMILL,,,FMB22 150GPL,,,,,
,,,,,,,,,,,
44,44,,,,,,,,,,
,,,,,,,,,,,
45,45,,17.5 U DRILL,,,SLN25 100GPL,,,,,
,,,,,,,,,,,
46,46,,M20 ST TAP,,,ER32 100GPL,,,,,
,,,,,,,,,,,
47,47,,50 ROUGHING SHOULDERMILL,,,FMB22 150GPL,,,,,
,,,,,,,,,,,
48,48,,12 CARBIDE DRILL,,,ER20 100GPL,,,,,
,,,,,,,,,,,
49,49,,M14 ST TAP,,,ER32 100GPL,,,,,
,,,,,,,,,,,
50,50,,80 FINISHING SHOULDERMILL,,,SMS27 220GPL,,,,,
,,,,,,,,,,,
51,51,,40 ROUGHING SHOULDERMILL,,,FMH16 160GPL,,,,,
,,,,,,,,,,,
52,52,,10.2 CARBIDE DRILL,,,ER25 250GPL,,,,,
,,,,,,,,,,,
53,53,,M12 ST TAP,,,ER32 250GPL,,,,,
,,,,,,,,,,,
54,54,,14 CARBIDE DRILL,,,ER25 250GPL,,,,,
,,,,,,,,,,,
55,55,,M16 ST TAP,,,ER32 250GPL,,,,,
,,,,,,,,,,,
56,56,,,,,,,,,,
,,,,,,,,,,,
57,57,,,,,,,,,,
,,,,,,,,,,,
58,58,,,,,,,,,,
,,,,,,,,,,,
59,59,,,,,,,,,,
,,,,,,,,,,,
60,60,,,,,,,,,,
