INSERTS,,,
Sl. No.,Description,Nos.,Remarks
1,CCMT D6 D2 D4 CM.CP2430 ,,BACK SPOT
2,ASMT11T320PDPR-MJAH120,9,NIL
3,LMMU110716PNER-MJ AH120,33,C95
4,SCMT09T308XS-XT110,5,HAND CHAMFERING MACHINE
5,SEMT13T3AGSN-JM VP15TF ,255,DIA 250 & 125 FINISHING INSERTS
6,APMT1604PDER-M2ASM30,1,C95
7,APMT1604-M2AS20,97,C95
8,TOMT100404PDER-MJ AH120,18,DIA 40 CUTTER FINISHING TRIANGLE INSERT
9,TCMT220408MMT1,5,250 ROUGHING BORINGBAR INSERT 
10,TCMT110304-KF 3210,6,SANDVIK FINISHING BORING BAR
11,TCMT 09 02 04-KF3210 ,7,SANDVIK FINISHING BORING BAR
12,SNKX 1606 ANER-MK PH5320,2,C95
13,TNMU1207R16PER-MJ AH120,28,DIA 80 CUTTER TRIANGLE INSERT
14,TNMU120708PER-MJ AH3225,5,DIA 80 CUTTER
15,OAKU 060508SR-M50 CTPM240,10,C95
16,SDMT 1205ZZSN-31  CTCK215,61,"DIA 63, ROUGHING INSERTS"
17,SNMU1706ANPR-MJ T1215,7,DIA 125 CUTTER ROUGHING
18,ONMU0705ANPN-MJ  T1215,127,"DIA 125 CUTER,16 CORNER"
19,LQMU110716PNER-MJ AH725 ,4,"DIA 40, CUTTER ROUGHING"
20,JKTCI-WNMU060408 ,32,"DIA 63,80 & 50 CUTTER FINISHING"
21,JDMT100308R-FW,3,25 CUTTER INSERT
22,JDMT070208R  160323,8,NIL
23,JKTCI-TPGH090202L,10,FINISHING BORING BAR INSERTS MAX USED FOR 84 DIA
24,WCGX040204-ZV,16,"21 ""U"" DRILL INSERTS (TOOL DAMAGED)"
25,ONHU0705ANPR-W AH120,3,C95
26,TOMT150604PDER-MJ AH120,4,63 finishing triangle inserts
27,SDMT 1205ZZSN-29 CTCP230,34,63 CUTTER ROUGHING INSERTS FOR MS ONLY
28,XOMT130406-PD,18,"39""U""DRILL"
29,SPMT130410-PD,18,"39""U""DRILL"
30,XOMT15M508-PD,17,"45&43""U""DRILL"
31,SPMT15M510-PD,17,"45&43""U""DRILL"
32,LQMU110704PNER-MJ AH725,20,"DIA 40, CUTTER FINISHING 0.4 RADIUS"
33,LQMU110708PNER-MJ AH725,4,"DIA 40, CUTTER FINISHING 0.8 RADIUS"
34,SPGT090408-XT830,8,DIA 26 COUNTER CUTTER
35,SPMG07T308-PGLF6118,16,DIA 26 AND 25 U DRILL
36,SPMG060204-PGLF6118,5,DIA 21 U DRILL
37,SPMG060204-PGLF6118,6,DIA 17.5 UDRILL
38,TPGX110304L   NX2525,5,FINISHING BORING BAR INSERTS MAX USED FOR 250 DIA
39,CCMT060204-CM,4,DIA 17.5 AND 20 BACK SPOTFACE INSERT
40,SPMT07T308-ND1,10,26.5 U DRILL INSERT
41,TCMT16T308XS-XT110,8,60 CORE DRILL INSERT
42,TCMT16T304XS-XT110,11,45 DEGREE CHAMFER TOOL INSERT
43,CCMT09T308-CM CP2430,8,40 BACK SPOT INSERT
44,JNMU0603ER-B,1,DIA 25 CUTTER
45,SONT 104408ER-M30 CTPP430,3,33 UDRILL
46,JDMT070202R,8,NIL
47,APMT1604PDER-PR RX2000S,11,NIL
48,SCMT09T308GM-XT930-C,8,45 DEGREE TOP AND BOTTOM CHAMFER TOOL
